#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.8.1', start_date='2020-04-05T11:44:03', checksum=1621935961, kind='rlz-004', investigation_time=50.0, imt='MMI'"
lon,lat,depth,poe-1.0000000,poe-1.5000000,poe-2.0000000,poe-2.5000000,poe-3.0000000,poe-3.5000000,poe-4.0000000,poe-4.5000000,poe-5.0000000,poe-5.5000000,poe-6.0000000,poe-6.5000000,poe-7.0000000,poe-7.5000000,poe-8.0000000,poe-8.5000000,poe-9.0000000,poe-9.5000000,poe-10.0000000
13.56000,46.80000,0.00000,9.912403E-01,9.911661E-01,9.893097E-01,9.730046E-01,8.773633E-01,6.156595E-01,2.971703E-01,8.097137E-02,8.653379E-03,1.317298E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.59000,46.79000,0.00000,9.912403E-01,9.911790E-01,9.895119E-01,9.745523E-01,8.848123E-01,6.295671E-01,3.096725E-01,8.706657E-02,9.768806E-03,1.835675E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.61000,46.78000,0.00000,9.912403E-01,9.911875E-01,9.896468E-01,9.755968E-01,8.899843E-01,6.395659E-01,3.188466E-01,9.166353E-02,1.065356E-02,2.261934E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
13.86000,46.28000,0.00000,9.912403E-01,9.912403E-01,9.908252E-01,9.855096E-01,9.464350E-01,7.766181E-01,4.652552E-01,1.793607E-01,3.351241E-02,1.935419E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
14.09000,46.62000,0.00000,9.912403E-01,9.912403E-01,9.911362E-01,9.888998E-01,9.699243E-01,8.632352E-01,5.906928E-01,2.754495E-01,7.085039E-02,6.919146E-03,8.039145E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
14.16000,46.62000,0.00000,9.912403E-01,9.912403E-01,9.911836E-01,9.895850E-01,9.751173E-01,8.875947E-01,6.349092E-01,3.145543E-01,8.949972E-02,1.022878E-02,2.057432E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
14.23000,46.62000,0.00000,9.912403E-01,9.912403E-01,9.912145E-01,9.901171E-01,9.793333E-01,9.095578E-01,6.804131E-01,3.580848E-01,1.126048E-01,1.511533E-02,4.601448E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
14.58000,46.60000,0.00000,9.912403E-01,9.912403E-01,9.912403E-01,9.912025E-01,9.899020E-01,9.776026E-01,9.002696E-01,6.603881E-01,3.384728E-01,1.018687E-01,1.275669E-02,3.319957E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
