#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.8.1', start_date='2020-04-05T11:44:03', checksum=1621935961, kind='rlz-002', investigation_time=50.0, imt='MMI'"
lon,lat,depth,poe-1.0000000,poe-1.5000000,poe-2.0000000,poe-2.5000000,poe-3.0000000,poe-3.5000000,poe-4.0000000,poe-4.5000000,poe-5.0000000,poe-5.5000000,poe-6.0000000,poe-6.5000000,poe-7.0000000,poe-7.5000000,poe-8.0000000,poe-8.5000000,poe-9.0000000,poe-9.5000000,poe-10.0000000
13.56000,46.80000,0.00000,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.931566E-01,9.924623E-01,9.852895E-01,9.373628E-01,7.690138E-01,5.169237E-01,3.002094E-01,1.577034E-01,7.590145E-02,3.212248E-02,1.023113E-02,1.762785E-03,9.921805E-05
13.59000,46.79000,0.00000,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.931419E-01,9.921744E-01,9.829280E-01,9.243117E-01,7.395416E-01,4.865014E-01,2.785013E-01,1.447559E-01,6.883080E-02,2.844924E-02,8.575441E-03,1.329470E-03,6.158154E-05
13.61000,46.78000,0.00000,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.931128E-01,9.916950E-01,9.791909E-01,9.055173E-01,7.023615E-01,4.507879E-01,2.538359E-01,1.302406E-01,6.095366E-02,2.440583E-02,6.834060E-03,9.223766E-04,3.123738E-05
13.86000,46.28000,0.00000,9.931686E-01,9.931686E-01,9.931673E-01,9.927800E-01,9.880822E-01,9.542469E-01,8.137469E-01,5.676461E-01,3.379906E-01,1.807715E-01,8.864531E-02,3.878398E-02,1.335823E-02,2.694139E-03,2.027904E-04,5.125912E-08,0.000000E+00,0.000000E+00,0.000000E+00
14.09000,46.62000,0.00000,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.929871E-01,9.901448E-01,9.679543E-01,8.586745E-01,6.265858E-01,3.847768E-01,2.102631E-01,1.052064E-01,4.754100E-02,1.763421E-02,4.162484E-03,4.136358E-04,5.637037E-06,0.000000E+00,0.000000E+00
14.16000,46.62000,0.00000,9.931686E-01,9.931686E-01,9.931686E-01,9.931684E-01,9.928163E-01,9.884244E-01,9.564414E-01,8.203025E-01,5.756815E-01,3.441647E-01,1.845955E-01,9.077112E-02,3.990841E-02,1.389777E-02,2.867506E-03,2.244255E-04,5.722825E-07,0.000000E+00,0.000000E+00
14.23000,46.62000,0.00000,9.931686E-01,9.931686E-01,9.931686E-01,9.931589E-01,9.925279E-01,9.858460E-01,9.405928E-01,7.769071E-01,5.254422E-01,3.063983E-01,1.614298E-01,7.795833E-02,3.319278E-02,1.072262E-02,1.899297E-03,1.130708E-04,0.000000E+00,0.000000E+00,0.000000E+00
14.58000,46.60000,0.00000,9.931686E-01,9.931686E-01,9.931636E-01,9.926631E-01,9.870217E-01,9.476278E-01,7.951162E-01,5.457500E-01,3.213832E-01,1.705709E-01,8.299692E-02,3.582183E-02,1.194636E-02,2.257297E-03,1.515383E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
