#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.8.1', start_date='2020-04-05T11:44:03', checksum=1621935961, kind='rlz-000', investigation_time=50.0, imt='MMI'"
lon,lat,depth,poe-1.0000000,poe-1.5000000,poe-2.0000000,poe-2.5000000,poe-3.0000000,poe-3.5000000,poe-4.0000000,poe-4.5000000,poe-5.0000000,poe-5.5000000,poe-6.0000000,poe-6.5000000,poe-7.0000000,poe-7.5000000,poe-8.0000000,poe-8.5000000,poe-9.0000000,poe-9.5000000,poe-10.0000000
13.56000,46.80000,0.00000,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.928707E-01,9.889505E-01,9.598736E-01,8.309900E-01,5.891576E-01,3.546501E-01,1.911296E-01,9.443201E-02,4.184059E-02,1.483160E-02,3.175586E-03
13.59000,46.79000,0.00000,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.930883E-01,9.913551E-01,9.766324E-01,8.937305E-01,6.814017E-01,4.316760E-01,2.409783E-01,1.227892E-01,5.694488E-02,2.235584E-02,5.988352E-03,7.457770E-04
13.61000,46.78000,0.00000,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.931686E-01,9.928779E-01,9.890219E-01,9.603449E-01,8.325023E-01,5.911045E-01,3.561788E-01,1.920865E-01,9.497062E-02,4.212471E-02,1.496958E-02,3.221942E-03,2.719193E-04
13.86000,46.28000,0.00000,9.931686E-01,9.931686E-01,9.931686E-01,9.930989E-01,9.914961E-01,9.776865E-01,8.984918E-01,6.896825E-01,4.391468E-01,2.459784E-01,1.256797E-01,5.849696E-02,2.314709E-02,6.311922E-03,8.117860E-04,2.486712E-05,0.000000E+00,0.000000E+00,0.000000E+00
14.09000,46.62000,0.00000,9.931686E-01,9.931686E-01,9.931686E-01,9.931549E-01,9.924211E-01,9.849440E-01,9.353896E-01,7.643198E-01,5.119339E-01,2.966090E-01,1.555428E-01,7.471234E-02,3.150411E-02,9.949104E-03,1.686035E-03,9.208015E-05,0.000000E+00,0.000000E+00,0.000000E+00
14.16000,46.62000,0.00000,9.931686E-01,9.931686E-01,9.931686E-01,9.931183E-01,9.917798E-01,9.798398E-01,9.086369E-01,7.081821E-01,4.562193E-01,2.575297E-01,1.323926E-01,6.212175E-02,2.500285E-02,7.085163E-03,9.773049E-04,3.497887E-05,0.000000E+00,0.000000E+00,0.000000E+00
14.23000,46.62000,0.00000,9.931686E-01,9.931686E-01,9.931686E-01,9.930463E-01,9.908264E-01,9.727730E-01,8.773087E-01,6.545060E-01,4.082088E-01,2.254277E-01,1.138375E-01,5.215326E-02,1.993886E-02,5.028808E-03,5.612138E-04,1.183693E-05,0.000000E+00,0.000000E+00,0.000000E+00
14.58000,46.60000,0.00000,9.931686E-01,9.931686E-01,9.931047E-01,9.915757E-01,9.782855E-01,9.012553E-01,6.946016E-01,4.436333E-01,2.489972E-01,1.274293E-01,5.943752E-02,2.362888E-02,6.510568E-03,8.532748E-04,2.721493E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
