#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.8.1', start_date='2020-04-05T11:44:03', checksum=1621935961, kind='rlz-001', investigation_time=50.0, imt='MMI'"
lon,lat,depth,poe-1.0000000,poe-1.5000000,poe-2.0000000,poe-2.5000000,poe-3.0000000,poe-3.5000000,poe-4.0000000,poe-4.5000000,poe-5.0000000,poe-5.5000000,poe-6.0000000,poe-6.5000000,poe-7.0000000,poe-7.5000000,poe-8.0000000,poe-8.5000000,poe-9.0000000,poe-9.5000000,poe-10.0000000
13.56000,46.80000,0.00000,9.931686E-01,9.931686E-01,9.931686E-01,9.931153E-01,9.925199E-01,9.892948E-01,9.754419E-01,9.248688E-01,7.992492E-01,6.108159E-01,4.211113E-01,2.696568E-01,1.632349E-01,9.388932E-02,5.068622E-02,2.466244E-02,9.940395E-03,2.922145E-03,5.358057E-04
13.59000,46.79000,0.00000,9.931686E-01,9.931686E-01,9.931686E-01,9.930871E-01,9.923211E-01,9.883655E-01,9.716638E-01,9.128891E-01,7.763618E-01,5.839837E-01,3.980878E-01,2.528033E-01,1.519940E-01,8.678944E-02,4.635219E-02,2.211983E-02,8.613739E-03,2.398820E-03,4.056850E-04
13.61000,46.78000,0.00000,9.931686E-01,9.931686E-01,9.931686E-01,9.930627E-01,9.921581E-01,9.876204E-01,9.686790E-01,9.038585E-01,7.601424E-01,5.658318E-01,3.828245E-01,2.417731E-01,1.446929E-01,8.219813E-02,4.355960E-02,2.049662E-02,7.787142E-03,2.087993E-03,3.343598E-04
13.86000,46.28000,0.00000,9.931412E-01,9.927332E-01,9.903375E-01,9.797629E-01,9.394239E-01,8.296593E-01,6.489587E-01,4.550925E-01,2.950766E-01,1.804153E-01,1.048311E-01,5.740560E-02,2.863590E-02,1.207008E-02,3.811019E-03,7.750400E-04,7.978803E-05,4.936661E-07,0.000000E+00
14.09000,46.62000,0.00000,9.931659E-01,9.930022E-01,9.917832E-01,9.859476E-01,9.621170E-01,8.851678E-01,7.288731E-01,5.325510E-01,3.555788E-01,2.223484E-01,1.319272E-01,7.420076E-02,3.870929E-02,1.770210E-02,6.402452E-03,1.593140E-03,2.281267E-04,1.076232E-05,0.000000E+00
14.16000,46.62000,0.00000,9.931511E-01,9.928227E-01,9.907938E-01,9.816840E-01,9.462222E-01,8.450798E-01,6.696215E-01,4.742505E-01,3.096821E-01,1.903916E-01,1.112208E-01,6.134309E-02,3.098063E-02,1.335630E-02,4.375902E-03,9.400689E-04,1.067724E-04,1.936033E-06,0.000000E+00
14.23000,46.62000,0.00000,9.931237E-01,9.925848E-01,9.896070E-01,9.767263E-01,9.290946E-01,8.077540E-01,6.211724E-01,4.301718E-01,2.763643E-01,1.677380E-01,9.675425E-02,5.244623E-02,2.569935E-02,1.048984E-02,3.145957E-03,5.939297E-04,5.371832E-05,0.000000E+00,0.000000E+00
14.58000,46.60000,0.00000,9.930443E-01,9.920388E-01,9.870830E-01,9.665500E-01,8.976288E-01,7.494009E-01,5.541809E-01,3.731917E-01,2.348512E-01,1.401173E-01,7.932892E-02,4.181845E-02,1.949018E-02,7.282680E-03,1.903796E-03,2.937150E-04,1.707164E-05,0.000000E+00,0.000000E+00
