#,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.8.1', start_date='2020-04-05T11:44:03', checksum=1621935961, kind='rlz-003', investigation_time=50.0, imt='MMI'"
lon,lat,depth,poe-1.0000000,poe-1.5000000,poe-2.0000000,poe-2.5000000,poe-3.0000000,poe-3.5000000,poe-4.0000000,poe-4.5000000,poe-5.0000000,poe-5.5000000,poe-6.0000000,poe-6.5000000,poe-7.0000000,poe-7.5000000,poe-8.0000000,poe-8.5000000,poe-9.0000000,poe-9.5000000,poe-10.0000000
13.56000,46.80000,0.00000,9.931686E-01,9.931686E-01,9.931681E-01,9.930344E-01,9.919760E-01,9.868015E-01,9.654428E-01,8.944540E-01,7.440550E-01,5.484703E-01,3.685081E-01,2.315126E-01,1.379250E-01,7.794726E-02,4.098116E-02,1.900789E-02,7.043290E-03,1.817922E-03,2.752021E-04
13.59000,46.79000,0.00000,9.931686E-01,9.931686E-01,9.931670E-01,9.930189E-01,9.918821E-01,9.863839E-01,9.638098E-01,8.898489E-01,7.364445E-01,5.404364E-01,3.619601E-01,2.268620E-01,1.348777E-01,7.604202E-02,3.982188E-02,1.834131E-02,6.715065E-03,1.701846E-03,2.506372E-04
13.61000,46.78000,0.00000,9.931686E-01,9.931686E-01,9.931656E-01,9.929968E-01,9.917514E-01,9.858076E-01,9.615765E-01,8.836925E-01,7.265199E-01,5.301211E-01,3.536215E-01,2.209676E-01,1.310260E-01,7.363886E-02,3.837005E-02,1.750857E-02,6.308003E-03,1.560661E-03,2.214967E-04
13.86000,46.28000,0.00000,9.931021E-01,9.924254E-01,9.888496E-01,9.736236E-01,9.190214E-01,7.878649E-01,5.972899E-01,4.094262E-01,2.610694E-01,1.574944E-01,9.025876E-02,4.846728E-02,2.335579E-02,9.253038E-03,2.647996E-03,4.666972E-04,3.681685E-05,0.000000E+00,0.000000E+00
14.09000,46.62000,0.00000,9.931686E-01,9.931327E-01,9.926599E-01,9.899729E-01,9.782416E-01,9.341879E-01,8.183447E-01,6.343954E-01,4.418900E-01,2.851313E-01,1.736704E-01,1.005288E-01,5.476138E-02,2.706767E-02,1.122195E-02,3.450272E-03,6.752920E-04,6.508786E-05,0.000000E+00
14.16000,46.62000,0.00000,9.931686E-01,9.930963E-01,9.923846E-01,9.886594E-01,9.728515E-01,9.165853E-01,7.832438E-01,5.919026E-01,4.048173E-01,2.577016E-01,1.552504E-01,8.884227E-02,4.760320E-02,2.285023E-02,8.990522E-03,2.544286E-03,4.411789E-04,3.356742E-05,0.000000E+00
14.23000,46.62000,0.00000,9.931677E-01,9.930293E-01,9.919448E-01,9.866625E-01,9.648980E-01,8.929079E-01,7.414811E-01,5.457409E-01,3.662781E-01,2.299266E-01,1.368849E-01,7.729614E-02,4.058460E-02,1.877987E-02,6.930663E-03,1.777872E-03,2.666661E-04,1.442329E-05,0.000000E+00
14.58000,46.60000,0.00000,9.930948E-01,9.923742E-01,9.886114E-01,9.726572E-01,9.159766E-01,7.821000E-01,5.905779E-01,4.036878E-01,2.568779E-01,1.547022E-01,8.849645E-02,4.739236E-02,2.272700E-02,8.926754E-03,2.519296E-03,4.350714E-04,3.279711E-05,0.000000E+00,0.000000E+00
