rlz_id,branch_path,weight
0,b1~b1,8.6799997e-04
1,b1~b2,8.6799997e-04
2,b10~b1,8.6799997e-04
3,b10~b2,8.6799997e-04
4,b100~b1,8.6799997e-04
5,b100~b2,8.6799997e-04
6,b101~b1,8.6799997e-04
7,b101~b2,8.6799997e-04
8,b102~b1,8.6799997e-04
9,b102~b2,8.6799997e-04
10,b103~b1,8.6799997e-04
11,b103~b2,8.6799997e-04
12,b104~b1,8.6799997e-04
13,b104~b2,8.6799997e-04
14,b105~b1,8.6799997e-04
15,b105~b2,8.6799997e-04
16,b106~b1,8.6799997e-04
17,b106~b2,8.6799997e-04
18,b107~b1,8.6799997e-04
19,b107~b2,8.6799997e-04
20,b108~b1,8.6799997e-04
21,b108~b2,8.6799997e-04
22,b109~b1,8.6799997e-04
23,b109~b2,8.6799997e-04
24,b11~b1,8.6799997e-04
25,b11~b2,8.6799997e-04
26,b110~b1,8.6799997e-04
27,b110~b2,8.6799997e-04
28,b111~b1,8.6799997e-04
29,b111~b2,8.6799997e-04
30,b112~b1,8.6799997e-04
31,b112~b2,8.6799997e-04
32,b113~b1,8.6799997e-04
33,b113~b2,8.6799997e-04
34,b114~b1,8.6799997e-04
35,b114~b2,8.6799997e-04
36,b115~b1,8.6799997e-04
37,b115~b2,8.6799997e-04
38,b116~b1,8.6799997e-04
39,b116~b2,8.6799997e-04
40,b117~b1,8.6799997e-04
41,b117~b2,8.6799997e-04
42,b118~b1,8.6799997e-04
43,b118~b2,8.6799997e-04
44,b119~b1,8.6799997e-04
45,b119~b2,8.6799997e-04
46,b12~b1,8.6799997e-04
47,b12~b2,8.6799997e-04
48,b120~b1,8.6799997e-04
49,b120~b2,8.6799997e-04
50,b121~b1,8.6799997e-04
51,b121~b2,8.6799997e-04
52,b122~b1,8.6799997e-04
53,b122~b2,8.6799997e-04
54,b123~b1,8.6799997e-04
55,b123~b2,8.6799997e-04
56,b124~b1,8.6799997e-04
57,b124~b2,8.6799997e-04
58,b125~b1,8.6799997e-04
59,b125~b2,8.6799997e-04
60,b126~b1,8.6799997e-04
61,b126~b2,8.6799997e-04
62,b127~b1,8.6799997e-04
63,b127~b2,8.6799997e-04
64,b128~b1,8.6799997e-04
65,b128~b2,8.6799997e-04
66,b129~b1,8.6799997e-04
67,b129~b2,8.6799997e-04
68,b13~b1,8.6799997e-04
69,b13~b2,8.6799997e-04
70,b130~b1,8.6799997e-04
71,b130~b2,8.6799997e-04
