ID, X, Y
1_1_1,13.456794,46.83158252
1_1_1,13.47124368,46.8331307
1_1_2,13.47124368,46.8331307
1_1_2,13.4880681,46.83493331
1_1_3,13.4880681,46.83493331
1_1_3,13.50489252,46.83673593
1_1_4,13.50489252,46.83673593
1_1_4,13.52171694,46.83853855
1_1_5,13.52171694,46.83853855
1_1_5,13.53211724,46.84946154
1_1_6,13.53211724,46.84946154
1_1_6,13.5394806,46.86469609
1_1_7,13.5394806,46.86469609
1_1_7,13.54684397,46.87993064
1_1_8,13.54684397,46.87993064
1_1_8,13.55420733,46.89516519
1_1_9,13.55420733,46.89516519
1_1_9,13.5615707,46.91039974
1_1_10,13.5615707,46.91039974
1_1_10,13.56867843,46.92575427
1_1_11,13.56867843,46.92575427
1_1_11,13.57569316,46.94115246
1_1_12,13.57569316,46.94115246
1_1_12,13.58270789,46.95655065
1_1_13,13.58270789,46.95655065
1_1_13,13.58972262,46.97194883
1_1_14,13.58972262,46.97194883
1_1_14,13.59673735,46.98734702
1_1_15,13.59673735,46.98734702
1_1_15,13.60375208,47.00274521
1_1_16,13.60375208,47.00274521
1_1_16,13.61076681,47.0181434
1_1_17,13.61076681,47.0181434
1_1_17,13.61663633,47.03394182
1_1_18,13.61663633,47.03394182
1_1_18,13.62074021,47.05035733
1_1_19,13.62074021,47.05035733
1_1_19,13.62484409,47.06677283
1_1_20,13.62484409,47.06677283
1_1_20,13.62920135,47.08302367
1_1_21,13.62920135,47.08302367
1_1_21,13.64253528,47.09344081
1_1_22,13.64253528,47.09344081
1_1_22,13.65586922,47.10385794
1_1_23,13.65586922,47.10385794
1_1_23,13.66920315,47.11427508
1_1_24,13.66920315,47.11427508
1_1_24,13.68253709,47.12469222
1_1_25,13.68253709,47.12469222
1_1_25,13.69587103,47.13510936
1_1_26,13.69587103,47.13510936
1_1_26,13.70920496,47.14552649
2_1_1,14.563112,47.275487
2_1_1,14.57606014,47.26459405
2_1_2,14.57606014,47.26459405
2_1_2,14.58900828,47.2537011
2_1_3,14.58900828,47.2537011
2_1_3,14.60195641,47.24280815
2_1_4,14.60195641,47.24280815
2_1_4,14.61490455,47.23191521
2_1_5,14.61490455,47.23191521
2_1_5,14.62785269,47.22102226
2_1_6,14.62785269,47.22102226
2_1_6,14.64052185,47.20983872
2_1_7,14.64052185,47.20983872
2_1_7,14.6519334,47.19734524
2_1_8,14.6519334,47.19734524
2_1_8,14.66334496,47.18485176
2_1_9,14.66334496,47.18485176
2_1_9,14.67475651,47.17235828
2_1_10,14.67475651,47.17235828
2_1_10,14.68603206,47.15975034
2_1_11,14.68603206,47.15975034
2_1_11,14.69639357,47.14637313
2_1_12,14.69639357,47.14637313
2_1_12,14.70675509,47.13299593
2_1_13,14.70675509,47.13299593
2_1_13,14.7171166,47.11961872
2_1_14,14.7171166,47.11961872
2_1_14,14.72747812,47.10624152
2_1_15,14.72747812,47.10624152
2_1_15,14.73783963,47.09286431
2_1_16,14.73783963,47.09286431
2_1_16,14.74625684,47.07819058
2_1_17,14.74625684,47.07819058
2_1_17,14.75462313,47.06348291
2_1_18,14.75462313,47.06348291
2_1_18,14.76298943,47.04877523
2_1_19,14.76298943,47.04877523
2_1_19,14.77135547,47.03406741
2_1_20,14.77135547,47.03406741
2_1_20,14.77972151,47.01935959
2_1_21,14.77972151,47.01935959
2_1_21,14.78812526,47.00467696
2_1_22,14.78812526,47.00467696
2_1_22,14.79850636,46.99131495
2_1_23,14.79850636,46.99131495
2_1_23,14.80841752,46.97764324
2_1_24,14.80841752,46.97764324
2_1_24,14.81660152,46.96283336
2_1_25,14.81660152,46.96283336
2_1_25,14.82478553,46.94802348
2_1_26,14.82478553,46.94802348
2_1_26,14.8326932,46.93308259
2_1_27,14.8326932,46.93308259
2_1_27,14.83897761,46.91737219
2_1_28,14.83897761,46.91737219
2_1_28,14.84526202,46.90166178
2_1_29,14.84526202,46.90166178
2_1_29,14.85154643,46.88595138
2_1_30,14.85154643,46.88595138
2_1_30,14.85968062,46.87112803
2_1_31,14.85968062,46.87112803
2_1_31,14.8679967,46.8563919
2_1_32,14.8679967,46.8563919
2_1_32,14.87631266,46.84165571
2_1_33,14.87631266,46.84165571
2_1_33,14.88462854,46.82691947
2_1_34,14.88462854,46.82691947
2_1_34,14.8934805,46.81253468
2_1_35,14.8934805,46.81253468
2_1_35,14.90367781,46.79903188
2_1_36,14.90367781,46.79903188
2_1_36,14.91387512,46.78552909
2_1_37,14.91387512,46.78552909
2_1_37,14.9230114,46.77135453
2_1_38,14.9230114,46.77135453
2_1_38,14.93085528,46.75636173
2_1_39,14.93085528,46.75636173
2_1_39,14.93869916,46.74136893
2_1_40,14.93869916,46.74136893
2_1_40,14.94654305,46.72637613
2_1_41,14.94654305,46.72637613
